"name","description","is_fixed","rule","country","created_at"
"Orthodoxes Neujahr","Beginn des neuen Jahres nach dem julianischen Kalender, gefeiert in Ländern wie Russland und Serbien.","true","{""day"": 14, ""month"": 1}","INT","2026-01-14 17:30:28.374896+01"
"Makar Sankranti","Hinduistisches Erntedankfest zu Ehren des Sonnengottes Surya; markiert das Ende des Winters.","true","{""day"": 14, ""month"": 1}","IN","2026-01-14 17:30:28.374896+01"
"Ratification Day","Gedenktag zur Ratifizierung des Friedens von Paris (1784), der den US-Unabhängigkeitskrieg offiziell beendete.","true","{""day"": 14, ""month"": 1}","US","2026-01-14 17:30:28.374896+01"
"Zieh-dein-Haustier-an-Tag","Ein von Colleen Paige ins Leben gerufener Aktionstag, um Haustiere spielerisch (und sicher) einzukleiden.","true","{""day"": 14, ""month"": 1}","INT","2026-01-14 17:30:28.374896+01"
"Schaff-Ordnung-in-Deiner-Wohnung-Tag","Inoffizieller Aktionstag (Organize Your Home Day), der dazu motiviert, das neue Jahr mit Ausmisten zu beginnen.","true","{""day"": 14, ""month"": 1}","INT","2026-01-14 17:30:28.374896+01"
"Neujahrstag","Erster Tag des Kalenderjahres in fast allen Kulturen; gesetzlicher Feiertag in Deutschland.","true","{""day"": 1, ""month"": 1}","DE","2026-01-14 17:32:07.923231+01"
"Welttag des Friedens","Von Papst Paul VI. eingeführter Gedenktag der römisch-katholischen Kirche für den Weltfrieden.","true","{""day"": 1, ""month"": 1}","INT","2026-01-14 17:32:07.923231+01"
"Hochfest der Gottesmutter Maria","Ein bedeutendes Marienfest der katholischen Kirche, das den Oktavtag von Weihnachten markiert.","true","{""day"": 1, ""month"": 1}","INT","2026-01-14 17:32:07.923231+01"
"Unabhängigkeitstag Haitis","Gedenktag zur Ausrufung der Unabhängigkeit von Frankreich im Jahr 1804.","true","{""day"": 1, ""month"": 1}","HT","2026-01-14 17:32:07.923231+01"
"Tag der Gründung der Slowakischen Republik","Nationalfeiertag zur Erinnerung an die friedliche Teilung der Tschechoslowakei im Jahr 1993.","true","{""day"": 1, ""month"": 1}","SK","2026-01-14 17:32:07.923231+01"
"Einführung des Euro-Bargelds","Historischer Jahrestag: Am 1. Januar 2002 wurde das Euro-Bargeld in 12 EU-Ländern offizielles Zahlungsmittel.","true","{""day"": 1, ""month"": 1}","EU","2026-01-14 17:32:07.923231+01"
"Berchtoldstag","Traditioneller Feiertag in der Schweiz und Liechtenstein, benannt nach Herzog Berchtold V. von Zähringen.","true","{""day"": 2, ""month"": 1}","CH","2026-01-14 17:33:58.765322+01"
"Tag der Ahnen","Gedenktag zu Ehren der Vorfahren und derer, die für die Unabhängigkeit Haitis gekämpft haben.","true","{""day"": 2, ""month"": 1}","HT","2026-01-14 17:33:58.765322+01"
"Tag der Einnahme Granadas","Gedenktag zur Kapitulation der Stadt Granada im Jahr 1492, was das Ende der maurischen Herrschaft markierte.","true","{""day"": 2, ""month"": 1}","ES","2026-01-14 17:33:58.765322+01"
"Science Fiction Day","Inoffizieller Aktionstag zu Ehren des Autors Isaac Asimov, der an diesem Tag geboren wurde.","true","{""day"": 2, ""month"": 1}","INT","2026-01-14 17:33:58.765322+01"
"National Buffet Day","Ein kulinarischer Aktionstag, der dazu einlädt, die Reste der Feiertage oder neue Speisen am Buffet zu genießen.","true","{""day"": 2, ""month"": 1}","US","2026-01-14 17:33:58.765322+01"
"Aufnahme Alaskas in die USA","Gedenktag zur Aufnahme Alaskas als 49. Bundesstaat der USA im Jahr 1959.","true","{""day"": 3, ""month"": 1}","US","2026-01-14 17:36:29.78668+01"
"J.R.R. Tolkien Day","Geburtstag des ""Herr der Ringe""-Autors (1892). Fans weltweit feiern den Professor mit einem Toast um 21 Uhr.","true","{""day"": 3, ""month"": 1}","INT","2026-01-14 17:36:29.78668+01"
