tvg_name;tvg_id;group;location;channel;stream_url
Visdeurbel Cam;visdeurbel;Wildlife;Add-Ons;Netherlands Fish Doorbell Utrecht;https://visdeurbel.videostreams.nl/hls/visdeurbel/index.m3u8
Flumserberg Panorama;flumserberg;Mountain;Add-Ons;Switzerland Flumserberg Summit View;https://live.143b.ch/cam/flux/ts:abr.m3u8
LiveSpotting Outdoor;livespotting1;Nature;Add-Ons;Germany M-V Warnemünde Alter Strom;https://cdn.livespotting.com/vpu/oq57fxnt/mciwlhsf.m3u8
LiveSpotting Outdoor;livespotting1;Nature;Add-Ons;Germany M-V Warnemünde Strand-Hotel Hübner;https://cdn.livespotting.com/vpu/2g1v2qai/x0etac6e.m3u8
Panomax 6002;panomax6002;Panorama;Add-Ons;Germany M-V Warnemünde Neptun Hotel;https://streaming.panomax.com:3000/live/7enVh7ASlIbtyOFlPDPl/index.m3u8
Altefähr Hafen;altefaehr;Beach;Add-Ons;Germany M-V Rügen Altefähr Harbor;https://cdn.livespotting.com/vpu/elgcq5ks/4egsy980_hub.m3u8
Göhren Seebrücke;goehren;Beach;Add-Ons;Germany M-V Rügen Göhren Pier;https://osl5.lvstrm.de/hls/stream.m3u8
Göhren Seebrücke;goehren;Beach;Add-Ons;Germany M-V Rügen Göhren Beach;https://osl6.lvstrm.de/hls/stream.m3u8
Zinnowitz Strand;zinnowitz;Beach;Add-Ons;Germany M-V Usedom Zinnowitz Beach;https://webcam.zinnowitz.de/hls/sdstream.m3u8
Boltenhagen Ostsee;boltenhagen;Beach;Add-Ons;Germany M-V Boltenhagen Beach View;https://osl2.lvstrm.de/hls/stream.m3u8
Boltenhagen Ostsee;boltenhagen;Beach;Add-Ons;Germany M-V Boltenhagen Kurhaus;https://osl3.lvstrm.de/hls/stream.m3u8
Waren Müritz Hafen;waren;Lake;Add-Ons;Germany M-V Müritz Harbor View;https://osl10.lvstrm.de/hls/stream.m3u8
Rostock Skyline;rostock;City;Add-Ons;Germany M-V Rostock City View;https://stream1.panocloud.com/radissonblurostock/radissonblurostock.stream/playlist.m3u8
Glowe Strand;glowe;Beach;Add-Ons;Germany M-V Rügen Glowe Beach;	https://osl4.lvstrm.de/hls/stream.m3u8
Andorra TV (1080p);AndorraTV.ad@Web;TV Channels - Andorra;Andorra;Andorra TV (1080p);https://live-edge-eu-1.cdn.enetres.net/56495F77FD124FECA75590A906965F2C022/live-3000/index.m3u8
Andorra TV (1080p);AndorraTV.ad@SD;TV Channels - Andorra;Andorra;Andorra TV (1080p);https://livesg1.rtva.hiway.media/65cea6ac-6944-4e45-b661-9dd47ea45c48/manifest.m3u8
Ajman TV (1080p);AjmanTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Ajman TV (1080p);https://cdn1.logichost.in/ajmantv/live/playlist.m3u8
Al Arabiya (1080p);Alarabiya.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Arabiya (1080p);https://live.alarabiya.net/alarabiapublish/alarabiya.smil/playlist.m3u8
Al Arabiya Business (1080p);AlArabiyaBusiness.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Arabiya Business (1080p);https://live.alarabiya.net/alarabiapublish/aswaaq.smil/playlist.m3u8
Al Arabiya Programs (1280p);AlArabiyaPrograms.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Arabiya Programs (1280p);https://live.alarabiya.net/alarabiapublish/aaprograms.smil/playlist.m3u8
Al Qamar TV (1080p);AlQamarTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Qamar TV (1080p);https://streamer3.premio.link/alqamar/playlist.m3u8
Al Shallal TV (1080p);AlShallalTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Shallal TV (1080p);https://amg01480-alshallalfze-alshallal-ono-q0hfg.amagi.tv/playlist.m3u8
Al Sharqiya Min Kabla (1080p);AlSharqiyaMinKabla.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Sharqiya Min Kabla (1080p);https://svs.itworkscdn.net/kablatvlive/kabtv1.smil/playlist.m3u8
Al Wousta TV (1080p);AlWoustaTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Wousta TV (1080p);https://svs.itworkscdn.net/alwoustalive/alwoustatv.smil/playlist.m3u8
Al Yaum TV (1080p);AlYaumTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Al Yaum TV (1080p);https://hlspackager.akamaized.net/live/DB/ALYAUM_TV/HLS/ALYAUM_TV.m3u8
Alarabiya (1080p);Alarabiya.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Alarabiya (1080p);https://shd-gcp-live.edgenextcdn.net/live/bitmovin-alarabiya/7f90de73d777d04f3dada92f90d35c44/index.m3u8
CNBC Arabiya (1080p);CNBCArabiya.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;CNBC Arabiya (1080p);https://cnbc-live.akamaized.net/cnbc/master.m3u8
Fujairah TV (720p);FujairahTV.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;Fujairah TV (720p);https://live.kwikmotion.com/fujairahlive/fujairah.smil/playlist.m3u8
MBC 1 (1080p);MBC1.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;MBC 1 (1080p);https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-1/15cf99af5de54063fdabfefe66adc075/index.m3u8
MBC 4 (1080p);MBC4.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;MBC 4 (1080p);https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-4/24f134f1cd63db9346439e96b86ca6ed/index.m3u8
MBC 5 (1080p);MBC5.ae@SD;TV Channels - United Arab Emirates;United Arab Emirates;MBC 5 (1080p);https://shd-gcp-live.edgenextcdn.net/live/bitmovin-mbc-5/ee6b000cee0629411b666ab26cb13e9b/index.m3u8
